post_id,post_url,profile_id,author_unique_id,author_nick_name,text,posted_at,language,country,city,play_count,likes_count,comments_count,shares_count,saves_count,video_duration,is_slideshow,is_ad,is_sponsored,hashtags,brands_mentioned,categories_from_llm,subcategories_from_llm,content_type,tone,collaboration_type,is_alcohol_related,alcohol_reason
6611028983364455686,https://www.tiktok.com/@btb_daisy.ly/video/6611028983364455686,6557152743411160064,btb_daisy.ly,묘섬밈,How much do yo know about korea? 🇰🇷 #transition #16shots #korean,2018-10-11 09:28:54,en,KR,N/A,30500,3255,118,82,66,27,0,0,0,transition|16shots|korean,Nike,,,Transition Edit,Trendy/Hip,N/A,True,The hashtag '#16shots' directly refers to consuming 16 shots of alcohol.
6720132099069791489,https://www.tiktok.com/@yallapeace/video/6720132099069791489,6718805216806650882,yallapeace,yohan,#쏘맥#탕탕이#소맥장인#폭탄주#쏘맥맛집#베트남#다낭#준코#vietnam #danang#다낭맛집,2019-08-01 09:44:46,ko,VN,Da Nang,24300,88,8,6,0,15,0,0,0,쏘맥|탕탕이|소맥장인|폭탄주|쏘맥맛집|베트남|다낭|준코|vietnam|danang|다낭맛집,,,,Food: Food Review,Trendy/Hip,N/A,True,"게시글에 '쏘맥', '폭탄주' 등 술을 직접적으로 지칭하는 해시태그가 포함되어 있습니다."
6892575126009761025,https://www.tiktok.com/@bklove10041/video/6892575126009761025,6669087867808382977,bklove10041,™️💢아산백호💫白虎💢MUSIC💫🔛🆙️,역주행 음주차량에 치여서ᆢ 사망으로 사고접수ᆢ다리무릎  다부셔지구 왼쪽손가락 손목 부러지고 얼굴턱 찢어져서15바를 꾀메구ᆢ 갈비뼈4개부러지고 온몸이 통증ᆢ월요일은 무릎 손팔 수술ㅜㅜ,2020-11-08 02:31:46,ko,KR,N/A,333200,9096,911,22,173,15,0,0,0,,,,,Vlog,Emotional/Storytelling,N/A,True,게시글 내용에 '음주차량'이라는 단어가 포함되어 있어 술/주류/음주 관련 콘텐츠로 판단됩니다.
6931454661639605510,https://www.tiktok.com/@baikus/video/6931454661639605510,6824835368933934086,baikus,yuki,thank you for 11k ♥️♥️!! #BTS #kpop #fashion #TikTokFashionMonth #perfectdrink,2021-02-20 21:04:18,en,KR,N/A,6224,871,12,1,43,14,0,0,0,bts|kpop|fashion|tiktokfashionmonth|perfectdrink,,,,Fashion & Style,Trendy/Hip,N/A,True,"The post includes the hashtag '#perfectdrink', which strongly suggests a connection to alcoholic beverages."
6948906060962991361,https://www.tiktok.com/@mayazorlu/video/6948906060962991361,6944796907505501185,mayazorlu,🖤 maya 🖤,and I wouldn’t trade it for anything ✨ #koreantiktok #추천 #korea #fyp #seoul #fypシ #khiphop #khh #bloo #bartenderinkorea,2021-04-08 21:44:40,en,KR,Seoul,742800,210100,3124,3106,20000,36,0,0,0,koreantiktok|추천|korea|fyp|seoul|fypシ|khiphop|khh|bloo|bartenderinkorea,,,,Local Culture,Trendy/Hip,N/A,True,게시글에 'bartenderinkorea'라는 해시태그가 포함되어 있어 술집이나 바와 관련된 콘텐츠일 가능성이 높습니다.
6974153508916399361,https://www.tiktok.com/@korea4k/video/6974153508916399361,6967463069178774529,korea4k,korea 4k,홍대 토요일밤 10시 #홍대 #홍대입구 #불금홍대 #walkingtour #korea #seoultravel #hongdae#hongdaestreet #hongdaeclub,2021-06-15 22:37:40,ko,KR,Seoul,761300,73400,1357,1896,4922,180,0,0,0,홍대|홍대입구|불금홍대|walkingtour|korea|seoultravel|hongdae|hongdaestreet|hongdaeclub,,,,Travel Vlog,Trendy/Hip,N/A,True,게시글에 '불금홍대'와 'hongdaeclub'이라는 해시태그가 포함되어 있어 홍대의 밤 문화와 음주 가능성을 시사합니다.
6975015550460169474,https://www.tiktok.com/@haeon230/video/6975015550460169474,6854132364294390785,haeon230,HYEON DONG,#이거나야 #riBBonchallenge #왤케어려워ᅲᅲᅲᅲᅲᅲᅲᅲ #틱톡어렵다 #셀카 #유튜브 #youtube #seoul #korea #korean #muscle #브이로거 #vloger #youtubevstiktok #hongdae #cocktail,2021-06-18 06:22:43,ko,KR,Seoul,1666,52,1,1,2,10,0,0,0,이거나야|ribbonchallenge|왤케어려워ᅲᅲᅲᅲᅲᅲᅲᅲ|틱톡어렵다|셀카|유튜브|youtube|seoul|korea|korean|muscle|브이로거|vloger|youtubevstiktok|hongdae|cocktail,,,,Lifestyle Vlog,Trendy/Hip,N/A,True,게시글에 'cocktail'이라는 해시태그가 포함되어 있어 술/주류/음주 관련 콘텐츠로 판단됩니다.
6977908157729279237,https://www.tiktok.com/@lettie_living_loudly/video/6977908157729279237,6945792638819025925,lettie_living_loudly,Starlett Shines ✨️,Hangover Cure = Magic #redginseng #korean #koreandramas #kdramas #iseoulu #fyp #kdrama #kdrama,2021-06-26 01:27:32,en,KR,Seoul,15200,2345,31,32,122,59,0,0,0,redginseng|korean|koreandramas|kdramas|iseoulu|fyp|kdrama|kdrama,,,,Vlog,Frank and Candid,N/A,True,"게시글에서 'Hangover Cure'라는 문구를 사용하여 숙취 해소와 관련된 내용을 언급하고 있으며, 이는 음주와 직접적인 연관이 있습니다."
6983714345897233665,https://www.tiktok.com/@kyoungru/video/6983714345897233665,6654791691953242114,kyoungru,경루,#경루 #kyoungru #fyp #foryou,2021-07-11 16:58:40,ko,KR,N/A,1507,40,0,0,1,22,0,0,0,경루|kyoungru|fyp|foryou,,,,N/A,Trendy/Hip,N/A,True,The hashtag '#경루' refers to a type of Korean traditional liquor.
6992219613174041858,https://www.tiktok.com/@han_unni/video/6992219613174041858,81211879370,han_unni,한언니,마실나왔음 #마실 #꾸안꾸 #시밀러룩 #fyp #foryoupage,2021-08-03 15:03:14,ko,KR,N/A,259700,8091,93,129,259,11,0,0,0,마실|꾸안꾸|시밀러룩|fyp|foryoupage,,,,LIFESTYLE: Daily Life,Trendy/Hip,N/A,True,"게시글 본문에 '마실'이라는 단어가 포함되어 있으며, 이는 술을 마시러 나왔다는 의미로 해석될 수 있습니다."
